file,smiles,affinity
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_181.sdf,Cc1cc(C)cc(N(C)c2cc(C(=O)N3CCCC3)n(C)c2)c1,331.788
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_156.sdf,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1CO,76.359
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_104.sdf,Cc1c(N2C(=O)[C@]3(C)[C@@H](O)CCN3S2(=O)=O)ccc(C#N)c1Cl,70.639
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_130.sdf,C[C@@]12CC[C@@H](O1)[C@@H]1C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@@H]12,35.885
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_182.sdf,Cn1cc(Nc2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCC1,96.309
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_157.sdf,C[C@@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@@H](c1ccccc1)Oc1ccccc1-3,99.268
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_131.sdf,O=C1[C@@H]2[C@H](C(=O)N1c1cccc(C(F)(F)F)c1)[C@@H]1CC[C@H]2O1,54.445
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_105.sdf,Cc1c(N2C(=O)[C@H]3[C@H](O)CCN3S2(=O)=O)ccc(C#N)c1Cl,141.917
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_158.sdf,CCOC(=O)c1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cn1C,38.912
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_183.sdf,Cc1cc(C)cc(Nc2cc(C(=O)N3CCCC3)n(C)c2)c1,142.613
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_132.sdf,N#Cc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@H]2CC[C@@H]3O2)cc1C(F)(F)F,77.152
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_106.sdf,Cc1c(N2C(=O)[C@H]3[C@@H](O)CCN3S2(=O)=O)ccc(C#N)c1Cl,108.833
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_159.sdf,COC(=O)c1ccc(N(Cc2ccccc2)c2cc(C(=O)N3CCCC3)n(C)c2)cc1,267.695
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a/4wnv_predict_184.sdf,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCc2ccccc21,244.965
