file,smiles,affinity
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_45.sdf,COc1ccc2c(c1OC)C(=O)O[C@H]2[C@@H]1c2cc3c(cc2CCN1C)OCO3,190.7
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_59.sdf,CN(C)c1ccc(NC(=O)c2cc(-c3ccncc3)nc3ccccc23)cc1,24.015
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_51.sdf,CC1(C)C=Cc2c(ccc3c2OC[C@H](c2ccc(O)cc2O)C3)O1,-3.481
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_65.sdf,Cc1ccc(NC(=O)c2cc(-c3ccccn3)nc3ccccc23)cc1,39.425
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_53.sdf,COc1ccc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1,215.688
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_6.sdf,CN(C)Cc1ccc(-c2cccnc2)o1,48.053
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_71.sdf,COc1ccc(NC(=O)c2cc(-c3ccncn3)nc3ccccc23)cc1,8.2
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_66.sdf,COc1ccc(NC(=O)c2cc(-c3cnccn3)nc3ccccc23)cc1,125.953
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_54.sdf,CN(C)c1ccc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1,43.133
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_60.sdf,O=C(Nc1ccccc1)c1cc(-c2ccncc2)nc2ccccc12,19.309
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_72.sdf,CN(C)c1ccc(NC(=O)c2cc(-c3ccncn3)nc3ccccc23)cc1,249.345
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_67.sdf,CN(C)c1ccc(NC(=O)c2cc(-c3cnccn3)nc3ccccc23)cc1,97.443
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_55.sdf,O=C(Nc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12,1.439
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_61.sdf,Cc1ccc(NC(=O)c2cc(-c3ccncc3)nc3ccccc23)cc1,45.615
